QUESTION_ID,TOPIC,SUBTOPIC,MOCK_APPEARANCE,BLUEBOOK_APPEARANEC,QUESTION_PROMPT
a04050d8,ALGEBRA,Linear Functions,,,"The table above gives the typical amounts of energy per gram, expressed in both food calories and kilojoules, of the three macronutrients in food. If the 180 food calories in a granola bar come entirely from pÃ‚Â grams of protein, fÃ‚Â grams of fat, and cÃ‚Â grams of carbohydrate, which of the following expresses f in terms of p and c ?"
a04190b7,ALGEBRA,Linear Equations 2 Variables,,BB5 MEDIUM,"A store sells two different-sized containers of blueberries. The storeÃ¢â‚¬â„¢s sales of these blueberries totaled dollars last month. The equation represents this situation, where is the number of smaller containers sold and is the number of larger containers sold. According to the equation, what is the price, in dollars, of each smaller container?"
a0489274,ALGEBRA,Systems of Linear Equations,,,The solution to the given system of equations is . What is the value of ?
a049f400,ALGEBRA,Linear Inequalities,,,For which of the following tables are all the values of and their corresponding values of solutions to the given inequality?
a05bd3a4,ADV_MATH,Equivalent Expressions,,,Which of the following expressions is equivalent to ?
a07ed090,GEOM_TRIG,Area & Volume,,,"The figure shown is a right circular cylinder with a radius of and height of . A second right circular cylinder (not shown) has a volume that is times as large as the volume of the cylinder shown. Which of the following could represent the radius , in terms of , and the height , in terms of , of the second cylinder?"
a0b4103e,ADV_MATH,Equivalent Expressions,,,"The expression can be rewritten as , where k is a positive constant. What is the value of k ?"
a0cacec1,GEOM_TRIG,Circles,,,"An angle has a measure of radians. What is the measure of the angle, in degrees?"
a130fcdc,ALGEBRA,Linear Functions,,,"For the given linear function , which table shows three values of and their corresponding values of ?"
a1696f3e,ALGEBRA,Linear Functions,901D Lower,,"The function Ã‚Â is defined as , where a is a constant. If , what is the value of a ?"
a1bf1c4e,ADV_MATH,Equivalent Expressions,,,Which of the following is equivalent to the expression above?
a1fd2304,ALGEBRA,Linear Equations 2 Variables,902D Medium,,How many liters of a 25% saline solution must be added to 3 liters of a 10% saline solution to obtain a 15% saline solution?
a255ae72,ADV_MATH,Equivalent Expressions,,,"If and , which of the following is equal to ?"
a267bd29,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB6 UPPER,Which of the following is a solution to the given equation?
a26c29f7,ADV_MATH,Nonlinear Functions,903D Medium,BB10 LOWER,"The function is defined byÃ‚ . In the xy-plane, the graph of is the result of shifting the graph of down units. Which equation defines function ?"
a29e89fc,PSDA,Data 1 Variable,,,"The list gives the mass, in grams, of alpine marmots.Ã‚ Ã‚ ; ; ; ; What is the mean mass, in grams, of these alpine marmots?"
a2e76b60,GEOM_TRIG,Area & Volume,1000D Medium,,"A cylindrical can containing pieces of fruit is filled to the top with syrup before being sealed. The base of the can has an area of , and the height of the can is 10 cm. If of syrup is needed to fill the can to the top, which of the following is closest to the total volume of the pieces of fruit in the can?"
a309803e,ALGEBRA,Linear Functions,,,"One gallon of paint will cover square feet of a surface. A room has a total wall area of Ã‚Â square feet. Which equation represents the total amount of paint , in gallons, needed to paint the walls of the room twice?"
a31417d1,ADV_MATH,Nonlinear Functions,,,"From 2005 through 2014, the number of music CDs sold in the United States declined each year by approximately 15% of the number sold the preceding year. In 2005, approximately 600 million CDs were sold in the United States. Of the following, which best models C, the number of millions of CDs sold in the United States, t years after 2005?"
a3384df0,PSDA,Probability,,,"Penguin Exhibit Type of penguin Male Female Total Ã‚ Ã‚ Ã‚ Chinstrap Ã‚ Ã‚ 41 Ã‚ Ã‚ 59 100 Ã‚ Ã‚ Ã‚ Emperor Ã‚ Ã‚ Ã‚ Ã‚ 8 Ã‚ Ã‚ 27 Ã‚ Ã‚ 35 Ã‚ Ã‚ Ã‚ Gentoo Ã‚ Ã‚ 49 Ã‚ Ã‚ 54 103 Ã‚ Ã‚ Ã‚ Ã‚ Ã‚ Macaroni Ã‚ Ã‚ 42 Ã‚ Ã‚ 40 Ã‚ Ã‚ 82 Ã‚ Ã‚ Ã‚ Total 140 180 320 The number of penguins in a zoo exhibit, sorted by gender and type of penguin, is shown in the table above. Which type of penguin has a female population that is the closest to being of the total female penguin population in the exhibit?"
a35c7164,ALGEBRA,Linear Equations 2 Variables,901D Upper,BB9 UPPER,"In the given pair of equations, and are constants. The graph of this pair of equations in the xy-plane is a pair of perpendicular lines. Which of the following pairs of equations also represents a pair of perpendicular lines?"
a38c0183,GEOM_TRIG,Circles,,BB6 MEDIUM,Circle A (shown) is defined by the equation . Circle B (not shown) is the result of shifting circle A down units and increasing the radius so that the radius of circle B is times the radius of circle
a391ed22,ADV_MATH,Equivalent Expressions,1000D Upper,,"The expression above is equivalent to , where a, b, and c are constants. What is the value of b?"
a396ed75,ALGEBRA,Linear Functions,,,"For a training program, Juan rides his bike at an average rate of minutes per mile. Which function models the number of minutes it will take Juan to ride miles at this rate?"
a456cfd2,PSDA,Data 1 Variable,,BB9 MEDIUM,Data value Frequency The frequency table summarizes the data values in a data set. What is the maximum data value in the data set?
a456f28c,GEOM_TRIG,"Lines, Angles, Triangles",,BB6 LOWER,"In the figure, two lines intersect at a point. Angle and angle are vertical angles. The measure of angle is . What is the measure of angle ?"
a45ffacb,ADV_MATH,Nonlinear Functions,,,"Function is defined by , where and are constants. In the xy-plane, the graph of has a y-intercept at . The product of and is . What is the value of ?"
a478f9f5,PSDA,Probability,,,"Each of gemstones can be classified as one of three classifications, as shown in the frequency table. Classification Frequency color X color Y color Z If one of the gemstones is selected at random, what is the probability of selecting a gemstone of color Y?"
a4bd60a3,GEOM_TRIG,Right Angle Trigonometry,,BB8 UPPER,"The perimeter of an equilateral triangle is centimeters. The height of this triangle is centimeters, where is a constant. What is the value of ?"
a4c05a1b,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure shown, lines and are parallel, and line intersects both lines. If , which of the following must be true?"
a4d6fbec,ALGEBRA,Linear Functions,,,"If , what is the value of when ?"
a4ed5285,GEOM_TRIG,Area & Volume,,,"The figure shows the lengths, in inches, of two sides of a right triangle. What is the area of the triangle, in square inches?"
a4f61d75,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"In the equation above, a is a constant and . If the equation has two integer solutions, what is a possible value of a ?"
a520ba07,ADV_MATH,Equivalent Expressions,,,Which of the following expressions is equivalent to the expression above?
a54753ca,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB9 UPPER,"In the xy-plane, the graph of the equation intersects the line at exactly one point. What is the value of ?"
a5663025,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,A system of equations consists of a quadratic equation and a linear equation. The equations in this system are graphed in the xy-plane above. How many solutions does this system have?
a5834ea4,ALGEBRA,Linear Functions,,,"For the given linear function , which table gives three values of and their corresponding values ofÃ‚Â ?"
a5aee181,GEOM_TRIG,Right Angle Trigonometry,901D Medium,,"The length of a rectangleÃ¢â‚¬â„¢s diagonal is , and the length of the rectangleÃ¢â‚¬â„¢s shorter side is . What is the length of the rectangleÃ¢â‚¬â„¢s longer side?"
a5b069b4,PSDA,Data 1 Variable,,,", , , , , , , What is the median of the data set shown?"
a67a439d,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB10 LOWER,Which ordered pair is a solution to the given system of equations?
a6b2fcce,PSDA,Data 2 Variable,,,"According to the line graph above, between which two consecutive years was there the greatest change in the number of 3Ã¢â‚¬â€˜D movies released?"
a6dbad6b,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure above, lines and m are parallel, , and . What is the value of x ?"
a71b1bc1,ALGEBRA,Systems of Linear Equations,,,"A piece of wire with a length of inches is cut into two parts. One part has a length of inches, and the other part has a length of inches. The value of is more than times the value of . What is the value of ?"
a73a5c22,ALGEBRA,Linear Functions,,,The function is defined by . What is the value of when ?
a7711fe8,ADV_MATH,Nonlinear Functions,903D Upper,,What is the minimum value of the functionÃ‚ f defined by Ã‚ ?
a775af14,ALGEBRA,Linear Functions,,,"In the xy-plane, the graph of the linear function contains the points and . Which equation defines , where ?"
a7a14e87,ALGEBRA,Linear Equations 2 Variables,902D Upper,,"In the xy-plane, line k is defined by . Line j is perpendicular to line k, and the y-intercept of line j is . Which of the following is an equation of line j ?"
a8ae0d22,ADV_MATH,Nonlinear Functions,903D Upper,BB10 MEDIUM,"Two variables, and , are related such that for each increase of in the value of , the value of increases by a factor of . When , . Which equation represents this relationship?"
a8e6bd75,ALGEBRA,Linear Functions,,,Which of the following is the graph of the equation Ã‚Â in the xy-plane?
a8fabad0,PSDA,Percentages,,,"A waiter receives tips from each customer. On average, the tip is 15% of the customerÃ¢â‚¬â„¢s bill. At this rate, which of the following is closest to the tip the waiter can expect when a customer has a bill that is $78.20?"
